,rbp,method,auprc
0,Ago2,iDeep,0.5006097217585813
1,Ago2,iDeep,0.48299364525128935
2,Ago2,iDeep,0.5142856541637992
3,Ago2,iDeep,0.5560079450178779
4,Ago2,iDeep,0.5030554253629705
5,Ago2,iDeep,0.4838649839801835
6,Ago2,iDeep,0.5549356847663173
7,Ago2,iDeep,0.5688538435768827
8,Ago2,iDeep,0.5518553808987734
9,Ago2,iDeep,0.5173944182458027
10,Ago2,iDeep,0.5379504784541168
11,Ago2,iDeep,0.44806002571833004
12,Ago2,iDeep,0.5621137705551502
13,Ago2,iDeep,0.48631720439379017
14,Ago2,iDeep,0.47091493433765896
15,Ago2,iDeep,0.5270341181674302
16,Ago2,iDeep,0.5288145346403467
17,Ago2,iDeep,0.5495536741746097
18,Ago2,iDeep,0.46347216169752925
19,Ago2,iDeep,0.5539303698204677
20,Ago2,iDeep,0.5046805103458429
21,Ago2,iDeep,0.5153122276345452
22,Ago2,iDeep,0.48153473547504516
23,Ago2,iDeep,0.5171497701773157
24,Ago2,iDeep,0.5234821431030157
25,Ago2,iDeep,0.5973806999287669
26,Ago2,iDeep,0.5209913692667713
27,Ago2,iDeep,0.5329193435025957
28,Ago2,iDeep,0.5728852900612236
29,Ago2,iDeep,0.5130421393810513
30,Ago2,iDeep,0.5727492454732829
31,Ago2,iDeep,0.4756341195519851
32,Ago2,iDeep,0.513385451097031
33,Ago2,iDeep,0.5432012642757672
34,Ago2,iDeep,0.5441612386083927
35,Ago2,iDeep,0.5666141559629033
36,Ago2,iDeep,0.5190141772460477
37,Ago2,iDeep,0.518200907945467
38,Ago2,iDeep,0.5517414174782831
39,Ago2,iDeep,0.4879346763009759
40,Ago2,iDeep,0.5655461657247184
41,Ago2,iDeep,0.49604412665906156
42,Ago2,iDeep,0.4800742356034362
43,Ago2,iDeep,0.4824350146953088
44,Ago2,iDeep,0.5094076661845438
45,Ago2,iDeep,0.5295531469545645
46,Ago2,iDeep,0.5335880287391992
47,Ago2,iDeep,0.5775043867044365
48,Ago2,iDeep,0.5554802583871737
49,Ago2,iDeep,0.5597928932767244
50,Ago2,iDeep,0.5277787959811973
51,Ago2,iDeep,0.48150788672555145
52,Ago2,iDeep,0.5136688011099078
53,Ago2,iDeep,0.4928279693005455
54,Ago2,iDeep,0.5258030288788054
55,Ago2,iDeep,0.5132572858196883
56,Ago2,iDeep,0.520941328915722
57,Ago2,iDeep,0.5285154720163813
58,Ago2,iDeep,0.5202007712634571
59,Ago2,iDeep,0.4828861872477819
60,Ago2,iDeep,0.492183443870292
61,Ago2,iDeep,0.5274547637013866
62,Ago2,iDeep,0.5249199822136685
